,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
912,107435498,apache/sling-org-apache-sling-karaf-configs,,94,6,NonSQ,24,1572 days 14:14:56,1,772 days 14:42:06,772 days 14:42:06,1,0,0,NaT,NaT,0,NaT,NaT,0,sling
913,107435509,apache/sling-org-apache-sling-karaf-distribution,,116,7,NonSQ,30,1605 days 04:51:05,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
914,107435519,apache/sling-org-apache-sling-karaf-features,,277,9,NonSQ,55,1616 days 06:27:34,1,772 days 14:28:50,772 days 14:28:50,1,0,0,NaT,NaT,0,NaT,NaT,0,sling
915,107435578,apache/sling-org-apache-sling-starter,Java,1457,25,NonSQ,175,3997 days 22:08:14,7,30 days 10:52:31,0 days 00:52:21,1,6,9,33 days 08:44:37.666666666,0 days 21:19:07,1,2 days 21:52:06.666666666,0 days 20:26:46,11,sling
916,107435601,apache/sling-org-apache-sling-starter-content,HTML,162,12,NonSQ,14,4556 days 01:53:44,0,NaT,NaT,1,0,2,608 days 00:24:56,608 days 00:24:56,1,NaT,NaT,2,sling
917,107435631,apache/sling-org-apache-sling-launchpad-integration-tests,Java,480,17,SQ,25,3791 days 23:07:44,0,NaT,NaT,1,0,1,4 days 05:07:59,4 days 05:07:59,2,NaT,NaT,5,sling
918,107435691,apache/sling-org-apache-sling-launchpad-testing,,395,16,NonSQ,18,4499 days 01:50:32,1,0 days 00:44:12,0 days 00:44:12,0,1,0,NaT,NaT,0,NaT,NaT,0,sling
919,107435726,apache/sling-org-apache-sling-launchpad-test-services,Java,215,14,SQ,10,4149 days 06:18:39,0,NaT,NaT,0,0,1,0 days 21:05:53,0 days 21:05:53,0,NaT,NaT,2,sling
920,107435751,apache/sling-parent,,471,14,NonSQ,108,4858 days 04:54:58,2,0 days 09:49:30,0 days 09:49:30,1,2,4,12 days 16:33:07.500000,10 days 06:54:16.500000,1,12 days 06:43:37.500000,9 days 21:04:46.500000,3,sling
921,107435767,apache/sling-org-apache-sling-testing-email,Java,19,5,SQ,4,1172 days 06:43:34,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
922,107435795,apache/sling-org-apache-sling-testing-hamcrest,Java,33,8,SQ,4,1795 days 11:47:26,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
923,107435810,apache/sling-org-apache-sling-testing-clients,Java,145,18,SQ,69,1655 days 22:59:57,2,13 days 14:20:56,13 days 14:20:56,1,2,3,50 days 16:51:16.666666666,12 days 01:31:57,2,37 days 02:30:20.666666666,-2 days +11:11:01,6,sling
