full_name,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end
apache/james-site,1,14 days 03:27:07,14 days 03:27:07,0,1,0,NaT,NaT,2,NaT,NaT,3
apache/couchdb-admin,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/vcl-site,0,NaT,NaT,0,1,0,NaT,NaT,1,NaT,NaT,1
apache/couchdb-couch-event,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/airavata-mft-portal,5,7 days 13:06:21.600000,4 days 06:45:15,0,12,0,NaT,NaT,13,NaT,NaT,5
apache/maven-repository-plugin,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/axis-axis1-java,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,2
apache/fineract-cn-permitted-feign-client,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/couchdb-global-changes,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/brooklyn-library,2,25 days 04:05:38,25 days 04:05:38,3,1,1,0 days 00:23:52,0 days 00:23:52,2,-26 days +20:18:14,-26 days +20:18:14,1
apache/commons-bcel,33,40 days 17:12:14.303030303,7 days 23:14:45,85,32,70,588 days 14:05:27.442857144,0 days 18:01:24.500000,88,547 days 20:53:13.139826841,-8 days +18:46:39.500000,70
apache/tomee-release-tools,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/cordova-plugin-file-transfer,56,243 days 10:43:28.982142856,35 days 23:51:51,42,36,6,10 days 05:21:51.500000,2 days 16:12:02.500000,32,-234 days +18:38:22.517857144,-34 days +16:20:11.500000,15
apache/arrow-dist,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/pulsar-manager,43,41 days 16:59:20.232558139,5 days 08:27:27,56,56,20,84 days 03:01:53.950000,3 days 18:34:12,121,42 days 10:02:33.717441861,-2 days +10:06:45,34
apache/uima-uimafit,28,6 days 23:40:58.250000,0 days 00:45:54.500000,1,27,22,9 days 08:57:33.136363636,0 days 01:10:19,0,2 days 09:16:34.886363636,0 days 00:24:24.500000,23
apache/maven-project-utils,4,0 days 18:05:43.500000,0 days 01:06:38,0,4,2,1 days 08:49:51.500000,1 days 08:49:51.500000,0,0 days 14:44:08,1 days 07:43:13.500000,2
